2025-11-13T20:10:43.035 Device 23 | Lap 131 | Lap Time 0:52.950 | CumulativeField 37s | Avg Lap 0:43.665
2025-11-13T20:10:46.485 Device 45 | Lap 132 | Lap Time 0:37.620 | CumulativeField 126s | Avg Lap 1:28.710
2025-11-13T20:10:55.216 Device 79 | Lap 133 | Lap Time 14:17.948 | CumulativeField 229s | Avg Lap 1:50.293
2025-11-13T20:11:10.396 Device 18 | Lap 134 | Lap Time 0:33.390 | CumulativeField 209s | Avg Lap 0:34.965
2025-11-13T20:11:13.216 Device 26 | Lap 135 | Lap Time 0:32.730 | CumulativeField 234s | Avg Lap 1:05.868
2025-11-13T20:11:25.546 Device 45 | Lap 136 | Lap Time 0:39.060 | CumulativeField 187s | Avg Lap 1:24.891
2025-11-13T20:11:29.926 Device 79 | Lap 137 | Lap Time 0:34.709 | CumulativeField 111s | Avg Lap 1:44.478
2025-11-13T20:11:31.246 Device 23 | Lap 138 | Lap Time 0:48.210 | CumulativeField 241s | Avg Lap 0:45.180
2025-11-13T20:11:32.536 Device 60 | Lap 139 | Lap Time 14:45.759 | CumulativeField 114s | Avg Lap 5:29.533
2025-11-13T20:11:43.516 Device 18 | Lap 140 | Lap Time 0:33.120 | CumulativeField 190s | Avg Lap 0:34.596
2025-11-13T20:11:46.036 Device 26 | Lap 141 | Lap Time 0:32.820 | CumulativeField 182s | Avg Lap 1:04.546
2025-11-13T20:12:03.527 Device 79 | Lap 142 | Lap Time 0:33.600 | CumulativeField 142s | Avg Lap 1:39.416
2025-11-13T20:12:06.497 Device 45 | Lap 143 | Lap Time 0:40.950 | CumulativeField 178s | Avg Lap 1:21.752
2025-11-13T20:12:08.357 Device 23 | Lap 144 | Lap Time 0:37.110 | CumulativeField 111s | Avg Lap 0:43.162
2025-11-13T20:12:16.127 Device 18 | Lap 145 | Lap Time 0:32.610 | CumulativeField 119s | Avg Lap 0:34.265
2025-11-13T20:12:18.497 Device 26 | Lap 146 | Lap Time 0:32.460 | CumulativeField 102s | Avg Lap 1:03.312
2025-11-13T20:12:37.159 Device 60 | Lap 147 | Lap Time 1:04.621 | CumulativeField 173s | Avg Lap 4:23.305
2025-11-13T20:12:46.368 Device 23 | Lap 148 | Lap Time 0:38.010 | CumulativeField 67s | Avg Lap 0:42.132
2025-11-13T20:12:49.817 Device 18 | Lap 149 | Lap Time 0:33.690 | CumulativeField 159s | Avg Lap 0:34.182
2025-11-13T20:12:50.087 Device 79 | Lap 150 | Lap Time 0:46.560 | CumulativeField 185s | Avg Lap 1:35.892
2025-11-13T20:12:51.557 Device 26 | Lap 151 | Lap Time 0:33.060 | CumulativeField 76s | Avg Lap 1:02.192
2025-11-13T20:12:54.287 Device 45 | Lap 152 | Lap Time 0:47.790 | CumulativeField 90s | Avg Lap 1:19.488
2025-11-13T20:12:55.487 Device 24 | Lap 153 | Lap Time 14:05.558 | CumulativeField 212s | Avg Lap 2:48.161
2025-11-13T20:13:08.748 Device 60 | Lap 154 | Lap Time 0:31.588 | CumulativeField 255s | Avg Lap 3:36.961
2025-11-13T20:13:25.248 Device 26 | Lap 155 | Lap Time 0:33.690 | CumulativeField 114s | Avg Lap 1:01.174
2025-11-13T20:13:28.398 Device 18 | Lap 156 | Lap Time 0:38.580 | CumulativeField 172s | Avg Lap 0:34.732
2025-11-13T20:13:31.368 Device 24 | Lap 157 | Lap Time 0:35.880 | CumulativeField 214s | Avg Lap 2:29.263
2025-11-13T20:13:37.668 Device 45 | Lap 158 | Lap Time 0:43.380 | CumulativeField 73s | Avg Lap 1:17.231
2025-11-13T20:13:40.698 Device 60 | Lap 159 | Lap Time 0:31.950 | CumulativeField 122s | Avg Lap 3:06.126
2025-11-13T20:13:58.249 Device 26 | Lap 160 | Lap Time 0:33.000 | CumulativeField 82s | Avg Lap 1:00.202
2025-11-13T20:14:03.558 Device 24 | Lap 161 | Lap Time 0:32.190 | CumulativeField 97s | Avg Lap 2:14.629
2025-11-13T20:14:23.929 Device 36 | Lap 162 | Lap Time — | CumulativeField 89s | Avg Lap —
